Model,(i) $I(V; \acute{Z} \mid Z)$,(ii) $I(V;\acute{\Theta} \mid \acute{Z})$,(iii) $I(S;\acute{\Theta} \mid \acute{Z})$,FQI,RMSE,R2denorm,Prefix,Type,Depth,LatDim,Comp,Source,MP,AC,SS,RA,NMSE,MS,ISCOREam,ISCOREgm,ISCOREhm,MetricType,SourceType
SKZFC_ART_1_30_500_Mimic,3.986334870964433,0.051168776245858257,0.8930297106082667,0.0751525936504809,5.111573919286142,0.9591049728039788,SKZFC,ART,1,30,500,Mimic,0.6881102490208815,0.9123489533254712,0.6264298450887751,0.9591049728039788,0.04089502719602123,0.9998276064687185,0.837164325341565,0.8228042805726548,0.8079519989216787,FFT,Mimic : ART
SKZFC_ART_1_30_500_VitalDB,3.6723189006692416,0.041410013999131155,0.8092006847748499,0.049739111512981,5.688423176812691,0.9477497778253078,SKZFC,ART,1,30,500,VitalDB,0.7180723489338734,0.8954243022267602,0.692282052130373,0.9477497778253078,0.05225022217469222,0.9996769241494624,0.8506410810531554,0.8414081267223043,0.8320355985364981,FFT,VitalDB : ART
SKZFC_ART_1_30_800_Mimic,3.3216131329750818,0.050175503734770956,0.795797198569977,0.084701677261498,3.720351974408975,0.9783364677923966,SKZFC,ART,1,30,800,Mimic,0.6910014062779515,0.8924120503532674,0.605244804454129,0.9783364677923966,0.02166353220760342,0.9993483790844304,0.833268621592435,0.8174027912322254,0.800928698945158,FFT,Mimic : ART
SKZFC_ART_1_30_800_VitalDB,3.1186504994102004,0.03594130066218915,0.9208614539982467,0.0412645877593964,4.434750582747936,0.968242760383866,SKZFC,ART,1,30,800,VitalDB,0.7366374083487697,0.9173090897424067,0.7185476471892505,0.968242760383866,0.03175723961613397,0.9990219590711903,0.8679517729470966,0.8597196757716912,0.8513334935834486,FFT,VitalDB : ART
SKZFC_ART_1_50_800_Mimic,3.872688924604588,0.043358010413513004,0.8538159789380658,0.1048419026447272,3.438081035664837,0.9814990756300124,SKZFC,ART,1,50,800,Mimic,0.7117942571746454,0.9048234093197597,0.5650753961273578,0.9814990756300124,0.018500924369987626,0.9997836075342007,0.8325951491571952,0.8138870203402843,0.7937982349935686,FFT,Mimic : ART
SKZFC_ART_1_50_800_VitalDB,4.245195361434615,0.020287566366219013,1.0007273760716737,0.0439087850822141,4.600317859070126,0.9658272422722556,SKZFC,ART,1,50,800,VitalDB,0.8005934217992494,0.9299792755329964,0.7100482006763406,0.9658272422722556,0.03417275772774442,0.9998972782355845,0.8812690837032854,0.8741895109326928,0.8668206485311034,FFT,VitalDB : ART
SKZFC_ART_2_30_500_Mimic,3.4004507943620625,0.14332483724327585,0.48919432009120567,0.0649101326275018,4.987218128679033,0.9610705796338532,SKZFC,ART,2,30,500,Mimic,0.5007752993927375,0.7899896533620138,0.65107775846619,0.9610705796338532,0.03892942036614677,0.9994434594146548,0.7804713500538899,0.7562791632764764,0.7310239724146939,FFT,Mimic : ART
SKZFC_ART_2_30_500_VitalDB,3.6886567326572752,0.08585307244580206,0.5292461934402247,0.0458682602841542,5.8427064460262566,0.9448770463422688,SKZFC,ART,2,30,500,VitalDB,0.6027930380847505,0.808097441165213,0.7039349769968251,0.9448770463422688,0.05512295365773123,0.9996873118811521,0.811877962894042,0.7981431609328755,0.7842330260181029,FFT,VitalDB : ART
SKZFC_ART_2_30_800_Mimic,3.7097352011751603,0.0656877701377461,0.4218786414754896,0.101941497133587,3.2612163951721005,0.9833535954773096,SKZFC,ART,2,30,800,Mimic,0.6491273815697063,0.7549228382468738,0.5705326444790271,0.9833535954773096,0.016646404522690395,0.9997002217977491,0.7915273363141331,0.772357731050916,0.7535630882709762,FFT,Mimic : ART
SKZFC_ART_2_30_800_VitalDB,3.704504447279674,0.024097847686432968,0.6247764814131623,0.0345467817477658,4.2083722546386175,0.9714021986978468,SKZFC,ART,2,30,800,VitalDB,0.7830836139324424,0.8446106181034141,0.7416191935468968,0.9714021986978468,0.02859780130215317,0.9996970687264078,0.8680825386014016,0.8621495920669928,0.8562928229900664,FFT,VitalDB : ART
